age	gender	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6
21	1	['любить', 'день', 'хороший', 'любовь', 'рождение', 'любимый', 'новый', 'самый', 'каждый', 'друг', 'человек', 'дорогой', 'ждать', 'счастие', 'пусть']	['писать', 'фото', 'завтра', 'песня', 'ребята', 'группа', 'работа', 'лс', 'нужный', 'приходить', 'неделя', 'помогать', 'девочка', 'написать', 'искать']	['com', 'http', 'id', '_', 'instagram', 'vk', 'https', 'ru', 'amp', 'ура', 'фотка', 'www', 'club', 'рублея', 'from']	['цена', 'настроение', 'размер', 'подарок', 'спать', 'лето', 'новыя', 'дом', 'первыя', 'красота', 'выходной', 'море', 'приезжать', 'грн', 'весна']		
21	2	['день', 'хороший', 'новый', 'рождение', 'песня', 'желать', 'самый', 'цена', 'игра', 'ребята', 'новыя', 'поздравлять', 'первый', 'лс', 'праздник']	['любить', 'любовь', 'человек', 'знать', 'друг', 'каждый', 'девушка', 'писать', 'думать', 'понимать', 'какой', 'нужный', 'смотреть', 'завтра', 'оставаться']	['http', 'com', 'id', '_', 'ru', 'vk', 'https', 'фильм', 'amp', 'www', 'gt', 'видео', 'instagram', 'club', 'lt']			
38	1	['_', 'http', 'ru', 'id', 'com', 'https', 'www', 'класс', 'amp', 'club', 'группа', 'видео', 'город', 'проект', 'мастер']	['цена', 'размер', 'см', 'цвет', 'наличие', 'кожа', 'качество', 'платье', 'волос', 'ткань', 'рублея', 'грн', 'скидка', 'набор', 'заказ']	['vk', 'день', 'com', 'рождение', 'https', 'любовь', 'праздник', 'любимый', 'пусть', 'поздравлять', 'подарок', 'любить', 'желать', 'здоровье', 'счастие']	['друг', 'новый', 'ребенок', 'хороший', 'девочка', 'каждый', 'ждать', 'помогать', 'любить', 'человек', 'мама', 'писать', 'фото', 'нужный', 'сеичас']		
38	2	['http', 'ru', 'com', 'https', '_', 'www', 'vk', 'id', 'html', 'youtube', 'amp', '_ ', 'news', 'be', 'watch']	['человек', 'любовь', 'любить', 'знать', 'думать', 'такои', 'жить', 'смотреть', 'понимать', 'пусть', 'какой', 'рука', 'душа', 'людей', 'каждый']	['цена', 'украина', 'страна', 'путин', 'размер', 'дом', 'рф', 'купить', 'власть', 'рублея', 'сша', 'раион', 'область', 'квартира', 'продавать']	['друг', 'новый', 'день', 'хороший', 'фото', 'видео', 'группа', 'первый', 'праздник', 'фильм', 'писать', 'новыя', 'игра', 'проект', 'проходить']		
39	1	['день', 'любить', 'любовь', 'рождение', 'хороший', 'каждый', 'друг', 'человек', 'праздник', 'пусть', 'ребенок', 'любимый', 'новый', 'дорогой', 'поздравлять']	['ru', 'http', '_', 'www', 'группа', 'класс', 'писать', 'новый', 'получать', 'мастер', 'друг', 'ждать', 'приглашать', 'работать', 'видео']	['цена', 'размер', 'см', 'цвет', 'наличие', 'кожа', 'волос', 'платье', 'качество', 'заказ', 'ткань', 'продавать', 'купить', 'рублея', 'магазин']	['com', 'https', 'vk', 'id', 'девочка', 'нужный', 'помогать', 'месяц', 'http', 'искать', '_', 'собака', 'пожалуист', 'дом', 'фото']		
39	2	['город', 'цена', 'фото', 'новый', 'проект', 'группа', 'москва', 'раион', 'область', 'вопрос', 'проводить', 'команда', 'центр', 'первый', 'новыя']	['небо', 'море', 'красивый', 'лето', 'рука', 'солнце', 'ночь', 'красота', 'вода', 'весна', 'гора', 'глаз', 'сердце', 'снег', 'звезда']	['друг', 'день', 'человек', 'хороший', 'каждый', 'любить', 'любовь', 'какой', 'сеичас', 'новый', 'который', 'украина', 'оставаться', 'людей', 'страна']	['http', 'com', 'ru', 'https', 'www', '_', 'vk', 'id', 'видео', 'youtube', 'amp', 'html', 'рождение', 'фильм', 'club']		
40	1	['помогать', 'писать', 'друг', 'нужный', 'месяц', 'группа', 'собака', 'искать', 'город', 'дом', 'вопрос', 'девочка', 'неделя', 'тело', 'проект']	['com', 'https', 'http', 'vk', 'ru', '_', 'id', 'www', 'amp', 'видео', 'youtube', 'club', 'рецепт', 'html', 'торт']	['день', 'любить', 'любовь', 'хороший', 'рождение', 'праздник', 'друг', 'каждый', 'дорогой', 'любимый', 'новый', 'пусть', 'поздравлять', 'мама', 'ребенок']	['цена', 'размер', 'подарок', 'мастер', 'фото', 'класс', 'цвет', 'наличие', 'см', 'запись', 'кожа', 'приглашать', 'волос', 'качество', 'красота']		
40	2	['друг', 'день', 'человек', 'хороший', 'каждый', 'новый', 'любовь', 'любить', 'сеичас', 'какой', 'ребенок', 'помогать', 'праздник', 'знать', 'людей']	['http', 'com', 'ru', 'https', 'www', '_', 'vk', 'id', 'цена', 'видео', 'youtube', 'группа', 'amp', 'html', 'саит']	['украина', 'страна', 'путин', 'воин', 'русский', 'область', 'город', 'раион', 'власть', 'рф', 'москва', 'сша', 'новость', 'крым', 'президент']			
41	1	['com', 'https', 'vk', 'http', 'ru', '_', 'помогать', 'id', 'нужный', 'писать', 'www', 'группа', 'месяц', 'вопрос', 'собака']	['цена', 'размер', 'см', 'цвет', 'наличие', 'кожа', 'волос', 'белый', 'качество', 'лицо', 'купить', 'платье', 'цветок', 'продавать', 'ткань']	['любить', 'день', 'любовь', 'хороший', 'новый', 'рождение', 'друг', 'ребенок', 'праздник', 'каждый', 'дорогой', 'подарок', 'ждать', 'пусть', 'добрый']	['фильм', 'музыка', 'торт', 'добавлять', 'аромат', 'кг', 'букет', 'рецепт', 'чай', 'масло', 'театр', 'стих', 'вкусный', 'картина', 'готовить']		
41	2	['хороший', 'человек', 'друг', 'каждый', 'сеичас', 'какой', 'цена', 'помогать', 'ребенок', 'новый', 'самый', 'людей', 'начинать', 'думать', 'который']	['com', 'https', '_', 'любить', 'vk', 'любовь', 'youtube', 'id', 'смотреть', 'видео', 'amp', 'фильм', 'ждать', 'песня', 'пусть']	['http', 'ru', 'www', 'https', 'com', 'html', 'путин', 'проект', 'украина', 'news', 'группа', 'область', 'москва', 'саит', 'новость']	['день', 'город', 'праздник', 'фото', 'история', 'рождение', 'воин', 'русский', 'страна', 'поздравлять', 'новый', 'проходить', 'год', 'желать', 'победа']		
